first_name,last_name,age,act_score,sat_score
Ettie,Dare,24,35,851
Major,Kulas,19,32,1324
Celine,Collier,22,22,1246
Xavier,Ritchie,22,33,831
Rupert,Hilpert,19,26,1428
Tre,Johns,18,8,1364
Norene,Prohaska,18,10,647
Pamela,Pagac,17,4,1351
Braeden,White,22,15,666
Raoul,Stanton,18,34,1251
Lexi,Abernathy,19,14,1276
Andrew,Koss,19,18,1033
Cruz,Hyatt,21,14,432
Summer,Hartmann,20,25,678
Ellie,Wilderman,21,15,1125
Julio,Effertz,19,29,1573
Ben,Keebler,24,30,1032
Blaze,Hand,21,25,1197
Neil,Parisian,24,31,1384
Leone,Aufderhar,17,2,1215
Danyka,Volkman,22,5,1007
Valerie,Rau,18,26,636
Saul,Bradtke,21,28,1282
Melba,Bashirian,21,4,1373
Arnold,Herzog,22,7,803
Trenton,Renner,21,29,1350
Spencer,Konopelski,21,16,423
Bridget,Ziemann,19,7,498
Kamron,Schmitt,23,3,487
Frida,Rosenbaum,17,16,782
Sarina,Hodkiewicz,17,9,897
Destiney,Wehner,23,10,1396
Rudy,Baumbach,22,26,654
Ethyl,Nader,19,14,564
Kade,Hilpert,24,29,799
Zane,Hand,20,10,489
Josephine,Marquardt,21,28,1003
Dario,Stamm,19,34,682
Glenna,Schamberger,19,29,632
Adella,Pouros,21,26,1383
Mohamed,Krajcik,24,8,1583
Jada,Pfannerstill,22,5,577
Alberto,Huel,20,4,947
Margarita,Lind,23,23,1001
Jamaal,Kris,22,32,487
Karli,Welch,24,10,406
Clara,Ortiz,18,16,979
Nicholas,Kuvalis,24,32,1290
Kyleigh,Wintheiser,17,35,1273
Vallie,Ankunding,18,24,1133
Meredith,Mayer,21,22,1130
Travis,Rice,18,14,790
Cletus,Abernathy,18,27,1580
Liana,Lang,19,29,412
Fay,Goodwin,17,24,1448
Carolanne,Feest,17,6,1116
Gordon,Bayer,19,29,1351
Alexander,Hodkiewicz,23,28,1306
Norris,Hamill,17,34,420
Bryce,Steuber,24,32,633
Vena,Watsica,22,2,765
Estel,Gleason,20,31,555
Michael,Keebler,21,21,792
Koby,Oberbrunner,20,12,925
Dasia,Friesen,19,31,1475
Nya,Kutch,17,29,894
Johan,Kihn,21,10,547
Prince,Haag,22,19,618
Cleta,Mann,18,36,462
Callie,Frami,22,21,989
Savanah,Strosin,22,26,1307
Ricky,Shanahan,19,5,944
Haylee,Ryan,19,16,650
Ramona,Boehm,21,31,1281
Jordi,Skiles,20,4,474
Alexandrine,Simonis,17,23,441
Jaycee,Koss,22,3,1523
Earnest,Cremin,19,19,1422
Trisha,Goodwin,20,1,933
Evelyn,Hickle,18,14,930
Fae,Hermiston,22,32,545
Eriberto,Hagenes,17,29,980
Adelbert,Beer,23,35,1108
Ethel,Von,17,1,1142
Angelo,Morar,24,12,470
Lucius,Lueilwitz,17,11,1032
Alexys,Hahn,20,12,1498
Hilda,Feil,24,18,1368
Kennedi,Collins,18,31,699
Foster,Murazik,21,5,443
Kimberly,Brekke,19,27,1177
Willard,Walter,20,33,1517
Rickie,Bergstrom,20,23,1407
Ilene,Moore,17,31,654
Talon,Lubowitz,23,14,572
Opal,Gulgowski,21,14,1587
Tatyana,Blick,22,27,1040
Rafael,Hoppe,20,14,1242
Raoul,Abbott,18,29,652
Bernhard,Prohaska,21,6,1184
Cole,Jerde,23,9,576
Kayla,Fritsch,24,2,654
Rene,Stokes,21,31,709
Camylle,Green,21,3,704
Elton,Renner,20,33,973
Pascale,Kozey,18,31,1337
Magnolia,Kilback,22,24,994
Andrew,Murray,21,15,417
Judson,Renner,21,33,1539
Makenzie,Bednar,24,12,1286
Adaline,Dibbert,18,19,486
Millie,Lebsack,19,6,956
Mylene,Terry,24,14,1095
Charlene,Jacobi,24,25,1076
Delfina,Towne,23,3,603
Judge,Jacobi,22,19,417
Shirley,Weissnat,18,1,611
Earl,Corkery,24,27,1224
Nola,Donnelly,21,33,633
Alfonso,Farrell,22,8,1507
Jensen,Bailey,18,8,487
Melvin,Bergstrom,18,35,1018
Jaquan,Wilkinson,19,27,1089
Henriette,Bahringer,19,26,1441
Nat,Lowe,19,5,491
Trisha,Pacocha,19,23,1511
Jazlyn,Schaefer,19,9,892
Hilda,Marks,19,19,612
Amya,Mueller,21,35,1046
Richie,Prosacco,17,34,986
Justen,Emard,17,23,746
Mikayla,Gutmann,19,29,648
Gillian,Cronin,22,29,1431
Keyshawn,Carroll,17,34,476
Althea,Dare,21,36,1299
Gene,Hilll,20,4,760
Jasmin,Hills,24,32,1313
Patrick,Hauck,20,16,687
Kattie,Lebsack,20,34,531
Jennyfer,Will,18,35,857
Kenyatta,Purdy,24,14,1067
Christophe,Quigley,17,31,1294
Mose,Schuppe,24,5,608
Ryann,Sipes,21,25,1468
Meda,Walsh,22,19,1141
Gust,Kuphal,19,18,417
Alvena,Fadel,20,2,1130
Conner,Bergstrom,17,30,520
Benton,Schultz,19,9,1161
Adolfo,Weimann,18,2,1329
Santiago,Luettgen,23,35,1013
Nelle,Upton,20,9,1167
Benton,Schumm,24,2,796
Raymundo,Emard,24,30,435
Jameson,Gerhold,21,23,540
Addison,Cartwright,22,6,676
Dolores,Hahn,23,34,1298
Mallie,Senger,23,11,1454
Maeve,Funk,23,19,1247
Aidan,Pollich,19,18,1127
Meaghan,Stiedemann,22,19,930
Penelope,Barton,19,19,511
Eliezer,Trantow,21,32,688
Ben,Lebsack,24,2,843
Fatima,Anderson,24,12,1109
Ubaldo,Mante,24,24,1196
Lisa,Nolan,22,12,1289
Belle,Purdy,18,2,1346
Earlene,Gorczany,23,24,699
Jarrod,Kris,22,13,918
Markus,Haag,24,17,705
Ernestina,Heller,19,8,713
Laney,Kling,18,13,953
Okey,Gaylord,18,14,732
Robin,Schowalter,21,2,465
Crystel,Glover,20,34,694
Adolphus,Beier,17,36,1512
Damion,Ebert,21,10,1321
Sandra,Osinski,17,18,1149
Gabriel,Gibson,19,33,893
Timothy,Sipes,24,17,1356
Sharon,Lemke,24,10,871
Janae,Mosciski,23,3,1432
Alta,Donnelly,22,36,830
Aliza,Haley,22,5,1440
Margarette,Kemmer,24,7,1552
Albina,Schuster,24,22,1046
Clarabelle,Senger,23,10,1063
Cristina,Rodriguez,18,18,1034
Litzy,Pacocha,24,11,860
Adele,Kassulke,21,3,755
Cathrine,Pouros,17,21,904
Joel,Bergnaum,19,7,804
Winfield,Legros,22,2,922
Jeromy,Rolfson,17,17,1231
Randal,Kunde,23,12,963
Gerson,Hirthe,20,2,653
Jennings,Pagac,21,11,1120
Verla,Grimes,24,26,561
Brigitte,Lemke,17,23,546
Queenie,Ruecker,17,11,1226
Sean,Breitenberg,22,1,1301
Aron,Will,21,4,1523
Margaret,Legros,22,4,692
Agnes,Beer,18,21,428
Desiree,Monahan,17,10,1533
Nikita,Balistreri,19,19,603
Monte,Feeney,20,30,481
Stefanie,Langworth,20,19,567
Lurline,Simonis,23,17,917
Wayne,Champlin,18,30,1163
Wilfredo,Kirlin,20,30,1045
Sarina,Batz,19,33,796
Demarcus,Kshlerin,19,3,1433
Chaya,Wolf,24,22,420
Velda,Casper,22,2,1116
Olin,Oberbrunner,21,35,695
Joel,Ziemann,22,5,489
Armando,Murphy,18,36,1050
Joshuah,Towne,20,3,1575
Nicholas,McDermott,17,1,1533
Mandy,Gleichner,22,19,981
Abel,Barton,23,32,893
Zander,McGlynn,18,23,1328
Dan,Pollich,23,20,630
Scot,Armstrong,24,14,1446
Thalia,Bins,23,18,1277
Connor,Moore,23,21,878
Glenda,Eichmann,22,29,1419
Hellen,Thompson,23,6,1163
Hertha,Kris,24,15,899
Jaunita,Daniel,24,22,1524
Vicente,O'Reilly,21,5,1190
Margarita,White,22,13,708
Lucinda,Rath,19,19,706
Gaston,Christiansen,22,16,457
Braeden,Kuvalis,21,33,560
Maximilian,Gleichner,22,10,524
Lewis,Cremin,24,7,781
Drew,Brekke,24,16,1476
Ellen,Glover,24,3,1079
Jewel,Kovacek,24,16,649
Abe,Kuhlman,20,29,1301
Aubrey,Pfannerstill,23,3,629
Cathrine,Stamm,18,30,409
Floy,Schultz,24,10,980
Aurelio,Jast,23,19,628
Adolfo,Kutch,18,5,1151
Lorenza,Pouros,19,4,1455
Trystan,Bartell,24,25,563
Aliza,Mayer,18,25,871
Maxwell,Gulgowski,22,8,1247
Cullen,Lang,17,22,1311
Margarett,Buckridge,18,5,575
Dock,Schuster,18,29,543
Clint,Kuphal,17,30,1049
Mya,Schuppe,23,30,879
Arjun,Altenwerth,24,3,1381
Abner,Conn,24,36,1188
Joaquin,Larkin,19,24,743
Alaina,Senger,19,4,835
Breanne,O'Kon,20,6,928
Benjamin,Johns,23,8,658
Wilber,Cassin,22,22,1358
Joy,Dooley,23,30,1045
Orlando,Quigley,23,18,769
Haylee,Wintheiser,20,13,1554
Verlie,Jakubowski,21,13,583
Noemy,Langosh,21,27,1532
Trinity,Bahringer,24,34,1580
Rolando,Fisher,22,34,1537
Maya,Beer,19,18,965
Hans,Crona,17,23,982
Brianne,Ward,18,27,504
Mohammad,Renner,22,4,1363
Cordelia,Walter,19,36,1210
Garfield,Graham,21,1,815
Murphy,Kling,19,12,1396
Vida,Wuckert,22,36,950
Nathanial,Dietrich,20,19,793
Meda,Willms,24,27,1433
Jannie,Windler,21,8,743
Christa,Jones,18,10,571
Michele,Breitenberg,20,8,677
Gabrielle,Marvin,21,24,1108
Domenico,Quitzon,21,33,558
Vesta,Collier,17,10,1456
Shanelle,Baumbach,17,9,576
Weston,Cormier,21,7,595
Seamus,Conn,19,9,939
Rolando,Christiansen,22,22,1087
Nichole,Dietrich,21,32,860
Nikita,Yost,19,28,1539
Casey,Nicolas,18,9,694
Katrina,Torp,18,15,432
Lupe,Torphy,21,8,1232
Alessandro,Frami,17,3,1431
Kaci,Beatty,21,22,1589
Astrid,Wuckert,24,12,763
Freddy,Barton,19,9,1355
Destini,Crooks,20,20,654
Josiane,Schroeder,20,14,1428
Giovanny,Jaskolski,21,25,406
Iva,Schulist,19,32,1273
Violette,Rau,20,33,548
Shanie,Hand,22,10,556
Danielle,Harris,23,12,1326
Sylvester,Green,24,12,1249
Kara,Ebert,18,13,942
Rolando,Romaguera,19,22,1247
Jayce,Hilpert,24,20,659
Alvina,Stanton,23,8,1035
Gianni,Bednar,19,36,1008
Elisa,Klocko,21,8,785
Braden,Howe,20,14,1467
Aubrey,Grant,17,20,579
Orville,Sawayn,24,23,1054
Judy,Terry,19,36,1590
Lourdes,Purdy,21,17,1362
Orville,Streich,18,24,794
Edmund,Abbott,22,13,1010
Nelson,Brown,17,15,1376
Orlando,Hahn,19,22,1554
Katelynn,Christiansen,19,33,1052
Tyson,Pollich,17,29,1411
Imani,Langworth,23,15,1108
Rory,O'Conner,22,20,1166
Crystal,Steuber,23,34,1144
Esperanza,Altenwerth,24,33,1145
Arielle,Wisoky,22,6,894
Yasmeen,Reichert,20,15,447
Elwin,Von,24,24,833
Shaniya,Kuphal,17,2,1338
Winnifred,Prohaska,22,30,1040
Tatum,Walsh,21,12,1327
Eden,Von,18,9,716
